section,question,answer,page_link
مجتمع,متى شارك نادي النصر في بطولة كأس العالم للأندية؟,"في 5 يناير 2000م شارك نادي النصر في بطولة كأس العالم للأندية التي أقيمت لأول مرة في البرازيل بوصفه أول ناد سعودي مشارك، وحصل نادي النصر على بطاقة المشاركة في كأس العالم للأندية بعدما توج بلقب كأس الكؤوس الآسيوية 1998،ثم كأس السوبر الآسيوي في العام ذاته. وأوقعت القرعة فريق النصر ضمن المجموعة الأولى إلى جانب أندية ريال مدريد الإسباني وكورينثيانز البرازيلي والرجاء البيضاوي المغربي وحل في المركز الثالث في تلك المجموعة بفوز وخسارتين.
سجل النصر خمسة أهداف في بطولة العالم للأندية تعاقب على تسجيلها فهد الهريفي في مرمى ريال مدريد، وفؤاد أنور وفهد الهريفي وأحمد بهجة وموسى صايب في شباك الرجاء البيضاوي المغربي .
مثّل النصر في مشاركته العالمية عديد من النجوم البارزين من بينهم: فؤاد أنور، وفهد الهريفي، ومحيسن الجمعان، ومحمد الخوجلي، وإبراهيم الشويع، وفهد المهلل، واللاعب المغربي أحمد بهجة، واللاعب الجزائري موسى صايب، وأشرف على تدريبهم المدرب الصربي ميلان زيفادنوفيتش.
اشتهر نادي النصر السعودي بعد هذه المشاركة  بلقب العالمي، وذلك لكونه أول فريق سعودي يشارك في بطولة كأس العالم للأندية، خلال النسخة الأولى من النظام الموسع للبطولة عام 2000م.",https://saudipedia.com/article/16651/مجتمع/الرياضة/متى-شارك-نادي-النصر-في-بطولة-كأس-العالم-للأندية
مجتمع,ما هي أغاني المهد والهدهدة في السعودية؟,"هي شكل من أشكال الثقافة المحليّة في المملكة العربية السعودية، وعبارات متوارثة تغنيها الأم للطفل لتهيئته للنوم، أو أثناء ملاعبته أو تعليمه المشي وإطعامه الوجبات أو وقت استيقاظه، وتختلف من منطقة لأخرى حسب ارتباطها بالعادات والتقاليد واللهجات في كل مجتمع، لكنها تتشابه في بساطة اللحن، ووضوح الألفاظ، والمرونة.
ومن أغاني المهد المتداولة محليًّا لتهيئة الطفل للنوم ""دوها يا دوها.. والكعبة بنوها.. من زمزم غسلوها.. سِيدي سافر مكة.. جَاب لي زَنبيل كعكة""، وأغنية ""نام يا حبيبي نام.. وأنا أجيب لك جوز الحمام"".
ومن الأغاني المخصصة لملاعبة الأطفال ""حَدراجة مَدراجة.. يا كل عينٍ سَارجة.. يا فاطمة بنت النبي.. خُذي كتابك وانزلي.. على سدرة النبي""، ولتعليم الطفل المشي تغنّي له الأمهات ""دادي يالله ويا الله.. دادي يا ما شاء الله.. خطوة خطوة يالله.. خطوة خطوة ويا ماشاء الله"".",https://saudipedia.com/article/16645/مجتمع/عادات-وتقاليد/ما-هي-أغاني-المهد-والهدهدة-في-السعودية
حكومة وسياسة,هل يمكن دراسة تخصصين في الجامعات السعودية؟,"نعم، إذ أعلنت وزارة التعليم في المملكة العربية السعودية تطبيق نظام التخصص المزدوج في الجامعات السعودية عام 1446هـ/2024م، بهدف تمكين الطلبة من اكتساب مهارات تعليمية متعددة ومعرفة أوسع من خلال دراسة تخصصين في وقت واحد، والحصول على شهادتين جامعيتين، مما يمنح الطلبة مرونة في التخطيط للمسارين الأكاديمي والمهني.
ويقصد بالتخصص المزدوج إتاحة برنامج أكاديمي للطالب يحصل من خلاله على تخصص رئيس آخر، إضافة لتخصصه الأساسي، ويعمل النظام على توسيع المسارات الوظيفية للخريجين مستقبلًا، ومواكبة متطلبات سوق العمل ودعمها بالكفاءات والقدرات متعددة التخصصات، وزيادة فرص حصول الطالب على المهارات التي تتطلبها سوق العمل، وتوفير فرص للدراسة في التخصصات المتوافقة مع ميوله ورغباته، وتحسين المخرجات التعليمية.",https://saudipedia.com/article/16642/حكومة-وسياسة/التعليم-والتدريب/هل-يمكن-دراسة-تخصصين-في-الجامعات-السعودية
حكومة وسياسة,ما هو اختبار القدرة المعرفية في السعودية؟,"هو اختبار يعدّه المركز الوطني للقياس ""قياس"" ضمن الاختبارات المهنيّة في المملكة العربية السعودية، يقيس الإمكانات والقدرات المعرفية لدى الفرد؛ لإدراك وفهم العلاقات بين الأشياء والأحداث، وإصدار الأحكام وتقويم المواقف الحياتية.​ يستهدف المتقدمين للوظائف الإدارية سواء للتعيين أو المفاضلة في الترقيات على السلم العام لنظام الموارد البشرية، باستثناء الوظائف الصحية والتعليمية.
ويهدف الاختبار إلى إعطاء صورة حول كفاءة الموظف في أداء المهام الوظيفية، ومن خلال القدرات المستهدفة في الاختبار يمكن التعرف على مواطن القوة وجوانب القصور لدى المتقدمين، واكتشاف قدراتهم على الاستفادة من معارفهم وخبراتهم للتأقلم مع ما يواجههم من ظروف جديدة، وتحفيز الموظف على تطوير قدراته من وقت لآخر أثناء عمله؛ ليزداد كفاءة وإتقانًا لمهام عمله، إضافةً إلى تقديم معيار للترشيح عند إجراء المفاضلات الوظيفية للتعيين أو الترقيات.
ويتكون اختبار القدرة المعرفية من أربع قدرات رئيسة، هي:​ القدرة الكمية، والقدرة المكانية، والقدرة اللفظية، والقدرة الاستدلالية.",https://saudipedia.com/article/16639/حكومة-وسياسة/التعليم-والتدريب/ما-هو-اختبار-القدرة-المعرفية-في-السعودية
اقتصاد وأعمال,كم تبلغ مساحة مشروع تروجينا؟,يمتد مشروع تروجينا على مساحة تقدر بـ60 كم2،  منها مساحة مخصصة للمطاعم والمحال التجارية بنحو 42 ألف م2، وهو من الوجهات السياحية الواقعة وسط نيوم بمنطقة تبوك شمال غربي المملكة العربية السعودية، ويبعد عن ساحل خليج العقبة بنحو 50 كم، ويضم ارتفاعات جبلية ما بين 1500م و2600م فوق سطح البحر.,https://saudipedia.com/article/16638/اقتصاد-وأعمال/مشاريع/كم-تبلغ-مساحة-مشروع-تروجينا
مجتمع,ما هو الدوري السعودي للرياضات الإلكترونية؟,"الدوري السعودي للرياضات الإلكترونية،هو سلسلة بطولات الألعاب الإلكترونية التي يمارسها اللاعبون من محترفين وهواة، أُسس عام 1442هـ/2020م، تحت مظلة الاتحاد السعودي للألعاب الإلكترونية، ويهدف إلى خلق روح التنافس بين أندية الرياضات الإلكترونية المحلية، والدفع بالأندية نحو الاحتراف، لتمثيل المملكة العربية السعودية في المحافل العالمية.
يتضمن الموسم الواحد في الدوري السعودي للرياضات الإلكترونية نسختين من المنافسات، يتوج فيها الفريق الفائز حسب أكبر عدد نقاط جمعت من منافسات الدوري خلال العام. وتتنافس أندية الرياضات الإلكترونية السعودية في أبرز ألعاب التصويب، والألعاب الرياضية، والألعاب الاستراتيجية، مثل: لعبة CALL OF Duty، ولعبة رينبو 6 سيج R6S، ولعبة روكيت ليق ROKET LEAGUE، ولعبة فالورانت VALORANT، ولعبة ببجي موبايل PUBG MOBILE. ويتضمن الدوري أكثر من 60 فريقًا، ولاعبين يتجاوز عددهم 3000 لاعب، وتتجاوز ميزانية الجوائز ستة ملايين ريال.
يقدم الاتحاد السعودي للألعاب الإلكترونية جوائز SEF، لتشجيع ودعم المبدعين في مجال الرياضات والألعاب الإلكترونية في السعودية وهي:
- أفضل لاعب.
- أفضل لاعبة.
- أفضل لاعب في فئة FPS.
- أفضل لاعب في فئة الرياضات.
- أفضل لاعب في فئة الباتل رويال.
- أفضل لاعب فئة الرياضات القتالية.
- أفضل لاعب في فئة MOBA.
- أفضل نادي رياضات إلكترونية.
- أفضل نادي رياضات إلكترونية صاعد.
- أفضل فرق السنة.
- أفضل مدرب.
- افضل تغطية إعلامية للرياضات الإلكترونية.
- أفضل ستريمر.
- أفضل صانع محتوى.
- أفضل موهبة نسائية.
- أفضل موهبة صاعدة.
- أفضل موهبة تحليل.
- أفضل موهبة تعليق.
- أفضل موهبة تقديم.",https://saudipedia.com/article/16633/مجتمع/الرياضة/ما-هو-الدوري-السعودي-للرياضات-الإلكترونية
مجتمع,ما هو القرقيعان؟,"هو احتفالية تراثية شعبية في دول الخليج العربي، واشتقت كلمة القرقيعان من صوت قرقعة المكسرات والحلويات. وتقام الاحتفالية ليل ويوم منتصف شهر رمضان، يرتدي فيها الأطفال الملابس التراثية؛ فيلبس الأولاد ثوبًا وسترة، أما البنات فيرتدين ""البخنق""، وهو خمار يغطي الرأس والرقبة والصدر، مطرز بالترتر والخيوط الذهبية أو الفضية.
وينطلق الاحتفال بـ""القرقيعان"" بعد صلاة المغرب، إذ يجتمع الأطفال في مجموعات، ويسيرون حاملين حول أعناقهم أكياسًا قماشية أو بلاستيكية، أو سلالاً من الخوص، ويرددون خلال سيرهم أهازيج وأناشيد شعبية مُستقاة من الموروث الشعبي، مارين على منازل الحي، وربما الأحياء المجاورة، ليتلقوا من أصحاب المنازل المكسرات والحلوى، والبسكويت والشوكولاتة وغيرها من المأكولات المفضلة لدى الأطفال.",https://saudipedia.com/article/16619/مجتمع/عادات-وتقاليد/ما-هو-القرقيعان
مجتمع,ما هي السوبيا؟,"السوبيا هي أحد المشروبات التي يزداد الإقبال عليها في شهر رمضان بمنطقتي مكة المكرمة والمدينة المنورة غربي المملكة العربية السعودية، تُنتج محليًّا من الشعير أو الشوفان أو الخميرة، ويرتكز في صنعها على الشعير المجفف المطحون، وتأتي عادةً باللونين الأحمر والأبيض، وأحيانًا اللون البني.
تضاف لها التوابل العطرية كالقرفة والهيل، كما يضاف إليها السكر، ويستغرق تحضيرها يومًا وليلة، إذ يُضاف الشعير إلى الماء أولًا ثم السكر، ثم يُصفى المزيج وتُضاف التوابل العطرية إلى الشراب، ثم يُترك المزيج لمدة 24 ساعة في درجة حرارة الغرفة ويُقلب بين حين وآخر، ثم يُبَّرد ويُقدَّم مضافًا إليه الثلج.
وتعرف السوبيا من لونها، فاللون الأبيض مصنوع من الشعير، والأحمر أضيفت إليه صبغة ملونة، وعادة ما يكون الزبيب هو المادة الأساسية في تركيبته، أما اللون البني فمضاف إليه التمر الهندي.",https://saudipedia.com/article/16612/مجتمع/مأكولات-ومشروبات/ما-هي-السوبيا
ثقافة,ما هي الفئات المشاركة في مهرجان الملك عبدالعزيز للإبل 2024؟,"حدد نادي الإبل الفئات المشاركة في مهرجان الملك عبدالعزيز للإبل في نسخته التاسعة 2024، المقامة تحت شعار ""عز لأهلها""،وهي:
- بيرق الموحد، وتشمل الألوان (المجاهيم، الوضح، الشعل، الصفر).
- سيف الملك، وتشمل الألوان (الشعل، الصفر، الوضح، الشقح، الحمر، المجاهيم).
- شلفا ولي العهد، وتشمل الألوان (الشعل، الصفر، الوضح، الشقح، الحمر، المجاهيم).
- نخبة النخبة، وتشمل الألوان (الشعل، الصفر، الوضح، الشقح، الحمر، المجاهيم).
- الفحل المنتج، وتشمل الألوان (الشعل، الصفر، الوضح، الشقح، الحمر، المجاهيم).
- الفردي بفئاته، وتشمل (مفاريد قعدان، ودق قعدان، ومفاريد بكار، ودق بكار، وفئة جل).
- 20 مزاين أصايل، وتشمل فئتين: فئة الفردي (فردي دق أصايل، فردي جل أصايل)، وفئة الجمل.
- 20 مزاين أصايل مهجنات، وتشمل فئتين: فئة الفردي مهجنات (فردي دق أصايل مهجنات، فردي جل أصايل مهجنات)، وفئة الجمل مهجنات.
- 20 سواحل، وتشمل فئتين: فئة الفردي سواحل (فردي دق سواحل، فردي جل سواحل)، وفئة الجمل سواحل.
- مسابقة الطبع، وتشمل الألوان (الوضح، الشعل، الصفر، الشقح، الحمر، المجاهيم).
- مسابقة الهجيج وتشمل فئتين: فئة الجمل الهجيج ويضم ثلاث مجموعات: الأولى لألوان حمر، شقح، وضح، والثانية لألوان شعل، صفر، حبش.  والهجيج المقاود للألوان (الشعل، الصفر، الحبش)، والهجيج المقاود للألوان (الشقح، الحمر، الوضح). فيما تشمل فئة الفردي الهجيج (مفاريد بكار، ودق قعدان).",https://saudipedia.com/article/16594/ثقافة/مهرجانات/ما-هي-الفئات-المشاركة-في-مهرجان-الملك-عبدالعزيز-للإبل-2024
مجتمع,ما هي مهام المجلس الصحي السعودي؟,"يعد المجلس الصحي السعودي الجهة المسؤولة عن وضع سياسات التنسيق والتكامل بين الجهات المقدمة للخدمات الصحية في المملكة العربية السعودية، أُسس المجلس عام 1423هـ/2002م،ويؤدي عددًا من المهام والأدوار الأساسية، هي:
- بناء استراتيجيات الرعاية الصحية في السعودية، وتنفيذها.
- وضع معايير موحدة لإدارة وتشغيل المستشفيات والمراكز الصحية، التي تديرها وزارة الصحة أو أي جهة حكومية أخرى.
- مراجعة وتقويم الخدمات والخطط والسياسات الصحية.
- التنسيق بين الجهات المقدمة للخدمات الصحية، من أجل تسهيل حصول المستفيدين عليها.
- دراسة الأنظمة الصحية في السعودية واقتراح تطويرها.
- إصدار اللوائح التنظيمية والإدارية والمالية اللازمة، لتسيير أعمال المجلس بالاتفاق مع وزارة المالية، واعتماد الهيكل التنظيمي لأمانة المجلس بالتنسيق مع أمانة اللجنة العليا للتنظيم الإداري.
- تكوين اللجان المختصة التي تساعد المجلس على أداء مهامه، وتحديد اختصاصاتها، والقواعد المنظمة لعملها وحقوق أعضائها وواجباتهم.",https://saudipedia.com/article/16582/مجتمع/الصحة/ما-هي-مهام-المجلس-الصحي-السعودي
حكومة وسياسة,ما هي المنصة الوطنية للإنذار المبكر؟,"هي منصة إلكترونية للإنذار المبكر، طوّرتها المديرية العامة للدفاع المدني في المملكة العربية السعودية، بالتعاون مع هيئة الاتصالات والفضاء والتقنية، وفق المعايير العالمية، تبث رسائل نصية مصحوبة بنغمة مميزة واهتزازات في منطقة جغرافية محددة، من خلال الهواتف المتصلة بشبكات الاتصالات المتنقلة لتحذير سكانها من قرب وقوع حالة طارئة.
وتهدف المنصة الوطنية للإنذار المبكر إلى الاهتمام بدعم فاعلية وسائل الإنذار المبكر في حالات الطوارئ باستخدام خدمة البث الخلوي، وذلك بسرعة إيصال الرسائل التحذيرية للأجهزة المتنقلة، وتحديد المنطقة المعنيّة بالتحذير بدقة عالية.",https://saudipedia.com/article/16570/حكومة-وسياسة/الاتصالات-وتقنية-المعلومات/ما-هي-المنصة-الوطنية-للإنذار-المبكر
اقتصاد وأعمال,كم يبلغ إنتاج السعودية من الدجاج اللاحم؟,"تستثمر المملكة العربية السعودية بكثافة في إيجاد حلول مبتكرة للتحديات الإقليمية في إنتاج الدواجن، وتنتج السعودية نحو 1.3 مليون طن من الدجاج اللاحم، و453 ألف طن من بيض المائدة سنويًا، ووصلت نسبة الاكتفاء الذاتي في إنتاجها للدجاج اللاحم إلى 68% في 2023م، وهي تعد الثالثة عالميًّا في استهلاك لحوم ومنتجات الدواجن، كما تُصنف ضمن أكبر الدول المنتجة للدواجن في الشرق الأوسط وإفريقيا.
ويمول صندوق التنمية الزراعية وهو مؤسسة ائتمانية حكومية مختصة في تمويل مجالات الأنشطة الزراعية في المملكة، ومشاريع متنوعة في قطاع الدواجن تسهم في دعم الأمن الغذائي، والمحافظة على الموارد الطبيعية، كما تشجع على استخدام التقنيات الحديثة؛ لرفع نسبة الاكتفاء الذاتي لمشروعات الدجاج اللاحم، ودعم المزارعين.
واستهدف الصندوق عبر الاستراتيجية الزراعية الوطنية 2021-2025م تعزيز إنتاج الدجاج اللاحم بنحو 415 ألف طن، لتصل إلى 1,362 ألف طن، وذلك لرفع نسبة الاكتفاء الذاتي إلى 80%.",https://saudipedia.com/article/16566/اقتصاد-وأعمال/شؤون-اقتصادية/كم-يبلغ-إنتاج-السعودية-من-الدجاج-اللاحم
شؤون دينية,ما هي اشتراطات العمرة في رمضان؟,"حددت وزارة الحج والعمرة مجموعة من الاشتراطات والضوابط للراغبين في أداء العُمرة خلال شهر رمضان، سواءً من المواطنين أو المقيمين داخل المملكة العربية السعودية، وللمعتمرين القادمين من خارج السعودية، من بينها الحصول على التصاريح عبر تطبيق ""نُسُك"" (NUSUK)، الذي يمكن تحميله من خلال متجر Apple Store، أو Google Play.
وبإمكان المعتمرين من الداخل والخارج الاطلاع عبر تطبيق ""نسك"" على مواعيد العمرة المتاحة في شهر رمضان حسب الطاقة الاستيعابية، واختيار ما يناسبهم واستخراج التصريح، الذي يتطلب للقادمين من الخارج توفر تأشيرة فعالة وقت إنشاء الحجز. ويمكن للمستفيد أداء مناسك العمرة مرة واحدة في شهر رمضان.
كما يمكن للراغبين في الحصول على تصريح عمرة رمضان، سواءً من المواطنين أو المقيمين، استخراجه عبر تطبيق ""توكَّلنا""، على أن تكون حالة المتقدّم الصحيّة غير مصاب بعدوى نشطة من فيروس كورونا (كوفيد-19) وغير مخالطٍ لمصاب؛ حرصًا على سلامة المعتمرين.
ودعت وزارة الحج والعمرة، الراغبين في تأدية العمرة في شهر رمضان، إلى المبادرة باستخراج التصاريح والالتزام بالموعد المحدد فيه؛ لضمان توزيع الطاقة الاستيعابية، وتقليص الازدحام في شهر رمضان.",https://saudipedia.com/article/16562/شؤون-دينية/شؤون-دينية/ما-هي-اشتراطات-العمرة-في-رمضان
حكومة وسياسة,كم عدد الجامعات الحكومية في منطقة جازان؟,"تضم منطقة جازان جامعة حكومية واحدة هي جامعة جازان، أُسست في 30 ربيع الآخر 1426هـ/7 يونيو 2005م، وتُضم عدة كليات، منها: الطب، والهندسة، والحاسب الآلي، ونظم المعلومات، والمجتمع.
تقع المدينة الجامعية لجامعة جازان على مساحة تبلغ تسعة ملايين م2 على ساحل البحر الأحمر شمالي مدينة جازان، ووضع حجر أساسها الملك عبدالله بن عبدالعزيز آل سعود عام 1427هـ/2006م.
وكباقي الجامعات الحكومية في السعودية، تخضع جامعة جازان لنظام الجامعات الصادر عام 1441هـ/2019م، ويتولى مجلس شؤون الجامعات تنظيم شؤون الجامعة، ورسم سياساتها، ووضع اللوائح المنظمة لها، فيما يختص مجلس الأمناء بحوكمة الجامعة، والرقابة على أدائها أكاديميًّا وإداريًّا وماليًّا وفق أحكام النظام.",https://saudipedia.com/article/16544/حكومة-وسياسة/التعليم-والتدريب/كم-عدد-الجامعات-الحكومية-في-منطقة-جازان
اقتصاد وأعمال,لماذا سميت المشاريع الكبرى بهذا الاسم؟,"سُمّيت المشاريع الكبرى بهذا الاسم لما تشكّله من أهمية اقتصادية وتنموية كبرى، باعتماد ميزانيات كبيرة تصل إلى مليارات الريالات، لتكون ركيزة في مسيرة المملكة العربية السعودية، ولرفع جودة حياة سكانها وزائريها، وتلبي احتياجات الأجيال المقبلة، وتعزز مكانة السعودية محليًا ودوليًا، وتبرز مقوماتها الثقافية والتراثية والسياحية، ضمن مستهدفات رؤية السعودية 2030.
صُنفت المشاريع الكبرى إلى عدة قطاعات، تشمل: الطاقة، والتطوير الحضري، والسياحة، والثقافة، والإسكان، والرعاية الصحية.
وتهدف استراتيجية المشاريع الكبرى في السعودية إلى استحداث منظومات متطورة، وإطلاق قطاعات جديدة، ترتكز على التقنية والمعرفة، تعزز استخداماتها في السعودية، تسهم في تنويع الاقتصاد دون الاعتماد على النفط، لحجمها الكبير وإمكاناتها المتعددة، تدعم جهود النهوض الاقتصادي في السعودية، تزيد الاستثمارات في مجموعة قطاعات، تحقق عوائد عالية على المديين المتوسط  والبعيد،  كمشاريع داعمة للإلهام والاكتشاف.
ويقود صندوق الاستثمارات العامة في السعودية، منظومة المشاريع الكبرى، ضمن استراتيجيته في تأسيس قطاعات جديدة واعدة، وتوليد فرص العمل، ورفع مستوى التنمية، وتعزيز مقومات جودة الحياة في السعودية، والارتقاء بمكانتها عالميًا.
وضمت قائمة المشاريع الكبرى حتى عام 1445هـ/2023م مجموعة من المشاريع، منها:
أُسس في 1440هـ/2019م، يقع شمال غربي السعودية، يمتد على مساحة 26,500 كم2، ليكون حاضرة تجسد ما سيكون عليه مستقبل العالم الجديد، ونموذجًا متطورًا لمعيشة استثنائية. تضم نيوم مجموعة من المدن والموانئ، ومراكز الأبحاث، والمناطق التجارية، والأماكن الترفيهية والرياضية، والوجهات السياحية، تستقطب نحو مليون شخص من أنحاء العالم للعيش والعمل فيها، في بيئة مستدامة، ومنظومة من الخدمات والمرافق.
ويضم مشروع نيوم مدينة ""ذا لاين""، التي تخلو من الشوارع والسيارات، لينعم سكانها بأجواء خالية الانبعاثات الكربونية، باستخدام طاقة متجددة بنسبة 100%، لتكون 95% من مساحة نيوم طبيعة محمية، بعرض 200م، وطول 170 كم، ترتفع عن سطح البحر 500م.
أطلق في 1438هـ/2017م، ويضم أرخبيلًا يحتوي على نحو 90 جزيرة بكرًا، وسط مقومات الطبيعة من صحراء، وجبال وأخاديد، وبراكين خامدة، يقدم مجموعة من التجارب لزائريه من داخل وخارج السعودية، تتنوع في خدماتها من إتاحة الوصول إلى معالم ثقافية بارزة، وحماية البيئة والمحافظة عليها، وتنميتها، ووضع معايير محدثة للتنمية المستدامة، ومنع ردم النفايات، والتقليل من انبعاثات غاز ثاني أكسيد الكربون، والاعتماد الكلي على الطاقة المتجددة، وسيتيح لضيوفه استكشاف ما يختزنه ساحل البحر الأحمر، والتعرف على التراث الثقافي للسعودية، ليكون المشروع وجهة سياحية عالمية تعمل على مدار العام.
أُسس عام 1439هـ/2018م، يهدف لتأسيس عاصمة للترفيه والرياضة والفنون في السعودية تسمى ""القدية""، بوصفها مكونًا رئيسًا في رؤية السعودية 2030، يقع جنوب غربي الرياض، ويمتد على مساحة 366 كم2، ويمكن الزوار من الاستمتاع بمجموعة من الأنشطة والخدمات في مجموعة مجالات، هي: الرياضة، والصحة، والطبيعة، والبيئة، ضمن عدد من المتنزهات والوجهات الترفيهية، ومراكز الفنون والثقافة، والمرافق الرياضية القادرة على استضافة البطولات الدولية، كحلبات سباقات السيارات، والأكاديميات الرياضية والفنية، وأماكن العروض الفنية والفعاليات، وعدد من الأنشطة التاريخية والثقافية والتعليمية، إلى جانب مجموعة من خيارات الخدمات العقارية والمجتمعية.
أُسست في 1439هـ/2018م، وهي مطور عقاري متعدد الأصول، كُرست أعمالها لتطوير مجتمعات سكنية عصرية للمواطنين، ودعم جهود الحكومة لرفع معدل ملكية المنازل إلى 70% بحلول عام 2030م، عبر بناء أكثر من 200 مليون م2 من الأحياء المتكاملة، بأسلوب يركز على نمط الحياة والعمل والترفيه في المكان نفسه، تشمل منشآت صحية وتعليمية وتجارية وترفيهية، تؤسس لمجتمعات تتبنى أسلوب الحياة الصحي والحيوي، من خلال تأمين المساحات الخضراء، وإنشاء المرافق الرياضية والمسارات المخصصة للدراجات، وتحفيز التفاعل المجتمعي، وإبراز مفهوم الحياة خارج المنزل.
أُسست عام 1443هـ/2022م، تعمل على تطوير مشروع الدرعية ليصبح أحد أهم الوجهات السياحية والثقافية في العالم، وواحدًا من أبرز مراكز التجمع البشري، يحتضن عددًا من المعالم التراثية والثقافية المرتبطة بتاريخ السعودية، يتصدرها حي الطريف التاريخي؛ أحد مواقع التراث العالمي المدرجة في قائمة منظمة الأمم المتحدة للتربية والعلم والثقافة ""اليونسكو"" للتراث العمراني في 2010م،لتكون الدرعية مقصدًا عالميًا للزوّار والسيّاح، تتيح لهم التعرف على تاريخ السعودية، وإرثها الوطني، يتضمن مجموعة من المعارض والفعاليات الثقافية، إضافة إلى فرص التسوق والاختيار بين 400 من أرقى العلامات التجارية العالمية، وتجربة الأطعمة المحلية والعالمية بين 150 مطعمًا ومقهى، ضمن أجواء نجديّة.",https://saudipedia.com/article/16539/اقتصاد-وأعمال/مشاريع/لماذا-سميت-المشاريع-الكبرى-بهذا-الاسم
شؤون دينية,ما هو أقدم تسجيل صوتي لتلاوة القرآن بالمسجد الحرام؟,يعود تاريخ أقدم تسجيل صوتي لتلاوة القرآن الكريم في المسجد الحرام بمكة المكرمة غربي المملكة العربية السعودية إلى عام 1302هـ/1885م، سجله المستشرق الهولندي المسلم كريستيان سنوك هورخرونيه عبر أسطوانات الشمع عند زيارته مكة المكرمة، واحتفظت بهذا التسجيل جامعة لايدن في هولندا.,https://saudipedia.com/article/16534/شؤون-دينية/المسجد-الحرام/ما-هو-أقدم-تسجيل-صوتي-لتلاوة-القرآن-بالمسجد-الحرام
حكومة وسياسة,ما هي أهداف مركز بحوث العلوم الهندسية والمعمارية بجامعة أم القرى؟,مركز بحوث العلوم الهندسية والمعمارية، هو مركز تابع لجامعة أم القرى في مكة المكرمة، أنشئ عام 1417هـ/1996م، وضم عام 1436هـ/2015م، إلى عمادة البحث العلمي بعد تأسيسها، تحت وكالة المجموعات والمراكز البحثية، ويهدف إلى إجراء البحوث والمشاريع الهندسية والمعمارية والحاسوبية، التي تصب في خدمة الجامعة والمجتمع محليًّا ودوليًّا، كما يهدف إلى وضع المقترحات التي تسهم في ارتقاء مستوى بحوث علوم الهندسة والحاسب، ودعم وتبني المشاريع البحثية الهندسية والتقنية المتميزة علميًّا، المنتجة لبراءات اختراعات وتطوير ابتكارات، وتشجيع الباحثين والمبدعين والمتميزين في مجالات البحث العلمي الهندسي وعلوم الحاسب، والاستثمار في الخبرات الوطنية من خلال التعاون الداخلي والدولي مع الجامعات والمراكز البحثية، وتشجيع المشاريع البحثية.,https://saudipedia.com/article/16531/حكومة-وسياسة/التعليم-والتدريب/ما-هي-أهداف-مركز-بحوث-العلوم-الهندسية-والمعمارية-بجامعة-أم-القرى
حكومة وسياسة,متى بدأ التعليم الجامعي في السعودية؟,"بدأت مسيرة التعليم الجامعي في المملكة العربية السعودية بنواة صغيرة في مكة المكرمة عام 1369هـ/1949م، من خلال إنشاء كلية الشريعة، لتتولى مهام تعليمية محدودة في العلوم الشرعية، وجاء تأسيس الكلية (أصبحت لاحقًا إحدى كليات جامعة أم القرى) بمرسوم من الملك المؤسس عبدالعزيز بن عبدالرحمن آل سعود، ليشكل نمطًا حديثًا من التعليم العالي المنظم في الدراسات الشرعية والعلوم الإسلامية إلى جانب الدروس العلمية التي تعقد في المسجد الحرام، وأسند الإشراف عليها منذ عام 1373هـ/1953م إلى وزارة المعارف (وزارة التعليم حاليًّا)، وتحول اسمها إلى ""كلية الشريعة والتربية""، وفي عام 1382هـ/1962م غير مسماها إلى ""كلية الشريعة والدراسات الإسلامية""،لتنطلق بعد ذلك مسيرة التعليم الجامعي، فأنشئت جامعة الملك سعود عام 1377هـ/1957م، ثم أُسست جامعة الملك عبدالعزيز عام 1387هـ/1967م.",https://saudipedia.com/article/16516/حكومة-وسياسة/التعليم-والتدريب/متى-بدأ-التعليم-الجامعي-في-السعودية
ثقافة,ما الخدمات التي تقدمها مكتبة الملك عبدالعزيز العامة؟,"تقدم مكتبة الملك عبدالعزيز العامة في الرياض للمستفيدين خدمات عدة، منها: الإرشاد والخدمة المرجعية، والإعارة، والتصوير، إضافة إلى قواعد المعلومات، والبحث الآلي المختص، والبحث الببليوجرافي، والنشر العلمي.
كما تقدم المكتبة خدمات إلكترونية، منها: خدمة مرجعية عن بُعد، ونشر كتاب، ونشر كتاب للأطفال، وحجز قاعة، وحجز زيارة للمجموعات، إلى جانب خدمة المجموعات الخاصة، وعرض شراء المقتنيات، وكذلك خدمة مجموعة المقتنيات، وطلب تدريب تعاوني.",https://saudipedia.com/article/16515/ثقافة/معرفة/ما-الخدمات-التي-تقدمها-مكتبة-الملك-عبدالعزيز-العامة
